;screen_name;id;followers;friends;number_tweets;mean;variance;standard_deviation;monday;tuesday;wednesday;thursday;friday;saturday;sunday;mean_day_week;variance_day_week;standard_deviation_day_week;number_hashtags;hashtag_per_tweet;profile_image_url;profile_image_url_https
14;kabupun;840644107529666560;1311;1334;167;2433.37;10593484.05;3254.76;0.145;0.17;0.095;0.085;0.255;0.085;0.165;28.57;130.24;11.41;1;0.005;http://pbs.twimg.com/profile_images/928218124159029249/QUNNESzb_normal.jpg;https://pbs.twimg.com/profile_images/928218124159029249/QUNNESzb_normal.jpg
15;1ION1;976790460323647488;105;99;33;2144.21;15513729.38;3938.75;0.7297297297297297;0.16216216216216217;0.02702702702702703;0.05405405405405406;0.0;0.0;0.02702702702702703;5.29;82.20;9.07;0;0.0;http://abs.twimg.com/sticky/default_profile_images/default_profile_normal.png;https://abs.twimg.com/sticky/default_profile_images/default_profile_normal.png
16;ssidaglez;150088409;1190;3021;196;16045.91;258786048.81;16086.83;0.17;0.13;0.115;0.205;0.105;0.155;0.12;28.57;43.67;6.61;11;0.07;http://pbs.twimg.com/profile_images/605406123512823808/9w79WBsC_normal.jpg;https://pbs.twimg.com/profile_images/605406123512823808/9w79WBsC_normal.jpg
17;MarksmanColt;952310581909966849;182;964;23;1356.30;6305006.21;2510.98;0.06896551724137931;0.034482758620689655;0.5862068965517241;0.0;0.13793103448275862;0.06896551724137931;0.10344827586206896;4.14;28.98;5.38;2;0.01;http://pbs.twimg.com/profile_images/971155992472965120/imV_4gF4_normal.jpg;https://pbs.twimg.com/profile_images/971155992472965120/imV_4gF4_normal.jpg
18;seeHors_TV;973014939756646400;169;877;94;14868.54;362760918.59;19046.28;0.14432989690721648;0.26804123711340205;0.13402061855670103;0.27835051546391754;0.1134020618556701;0.030927835051546393;0.030927835051546393;13.86;80.69;8.98;6;0.065;http://pbs.twimg.com/profile_images/984981344483766273/6iichMyd_normal.jpg;https://pbs.twimg.com/profile_images/984981344483766273/6iichMyd_normal.jpg
19;kickstart_OW;732268064880922624;14175;13268;172;7382.22;64999057.66;8062.20;0.17;0.225;0.145;0.085;0.145;0.12;0.11;28.57;71.10;8.43;9;0.23;http://pbs.twimg.com/profile_images/986157884433190912/nKOkwCE8_normal.jpg;https://pbs.twimg.com/profile_images/986157884433190912/nKOkwCE8_normal.jpg
20;reeceedee;146872594;303;630;53;14097.83;392809787.50;19819.43;0.14814814814814814;0.24074074074074073;0.2037037037037037;0.2962962962962963;0.018518518518518517;0.037037037037037035;0.05555555555555555;7.71;29.63;5.44;11;0.15;http://pbs.twimg.com/profile_images/985932014632226817/r_l1h-tW_normal.jpg;https://pbs.twimg.com/profile_images/985932014632226817/r_l1h-tW_normal.jpg
21;lj00907;964605571272867840;85;67;28;7269.14;93424715.91;9665.65;0.06666666666666667;0.03333333333333333;0.3333333333333333;0.2;0.1;0.13333333333333333;0.13333333333333333;4.29;7.63;2.76;0;0.0;http://abs.twimg.com/sticky/default_profile_images/default_profile_normal.png;https://abs.twimg.com/sticky/default_profile_images/default_profile_normal.png
22;MedievalFTW;979973109896839169;1015;1023;102;16370.93;400041882.59;20001.05;0.09259259259259259;0.12037037037037036;0.14814814814814814;0.19444444444444445;0.046296296296296294;0.2222222222222222;0.17592592592592593;15.43;37.39;6.11;3;0.015;http://pbs.twimg.com/profile_images/984936981749579776/kxoFWCwP_normal.jpg;https://pbs.twimg.com/profile_images/984936981749579776/kxoFWCwP_normal.jpg
23;Ow_Arcane;980951936835862528;86;87;53;4062.51;45539474.10;6748.29;0.2222222222222222;0.1746031746031746;0.07936507936507936;0.031746031746031744;0.0;0.20634920634920634;0.2857142857142857;9.00;38.86;6.23;2;0.015;http://pbs.twimg.com/profile_images/988137778960523265/6VfkMJxR_normal.jpg;https://pbs.twimg.com/profile_images/988137778960523265/6VfkMJxR_normal.jpg
24;Xer0eR_OW;979291440722292736;68;82;170;242.55;100753.41;317.42;0.085;0.355;0.0;0.045;0.315;0.19;0.01;28.57;730.53;27.03;4;0.02;http://pbs.twimg.com/profile_images/986183258386841602/8WcJi6ES_normal.jpg;https://pbs.twimg.com/profile_images/986183258386841602/8WcJi6ES_normal.jpg
25;GT1GW;973606343905955840;248;508;89;13396.03;182835581.99;13521.67;0.26881720430107525;0.20430107526881722;0.0967741935483871;0.16129032258064516;0.0967741935483871;0.06451612903225806;0.10752688172043011;13.29;39.06;6.25;8;0.055;http://pbs.twimg.com/profile_images/973607399738101760/17FJy91W_normal.jpg;https://pbs.twimg.com/profile_images/973607399738101760/17FJy91W_normal.jpg
26;V3N_Karen123;937360036057059329;243;213;168;2355.49;15950629.71;3993.82;0.23;0.16;0.095;0.105;0.265;0.06;0.085;28.57;209.96;14.49;2;0.015;http://pbs.twimg.com/profile_images/985562485334818816/tSBs5XIS_normal.jpg;https://pbs.twimg.com/profile_images/985562485334818816/tSBs5XIS_normal.jpg
27;Gaming_NyanCat;912201355460206592;103;187;173;2167.68;8449293.60;2906.77;0.15151515151515152;0.17676767676767677;0.13131313131313133;0.16666666666666666;0.16161616161616163;0.08080808080808081;0.13131313131313133;28.29;35.06;5.92;13;0.1;http://pbs.twimg.com/profile_images/949463882124292096/l0GxAtUV_normal.jpg;https://pbs.twimg.com/profile_images/949463882124292096/l0GxAtUV_normal.jpg
28;TGCillo;896070168341880833;427;392;162;3522.30;22935441.98;4789.10;0.095;0.12;0.14;0.11;0.18;0.185;0.17;28.57;44.53;6.67;6;0.045;http://pbs.twimg.com/profile_images/983255572152836097/WGkYyKg-_normal.jpg;https://pbs.twimg.com/profile_images/983255572152836097/WGkYyKg-_normal.jpg
29;Snakers69;929171987167088645;435;216;53;22591.55;583951488.70;24165.09;0.24074074074074073;0.14814814814814814;0.2037037037037037;0.14814814814814814;0.12962962962962962;0.05555555555555555;0.07407407407407407;7.71;10.78;3.28;3;0.02;http://pbs.twimg.com/profile_images/982860702976282624/fPQ0GPNT_normal.jpg;https://pbs.twimg.com/profile_images/982860702976282624/fPQ0GPNT_normal.jpg
30;seeHors_TV;973014939756646400;169;877;94;14868.54;362760918.59;19046.28;0.14432989690721648;0.26804123711340205;0.13402061855670103;0.27835051546391754;0.1134020618556701;0.030927835051546393;0.030927835051546393;13.86;80.69;8.98;6;0.065;http://pbs.twimg.com/profile_images/984981344483766273/6iichMyd_normal.jpg;https://pbs.twimg.com/profile_images/984981344483766273/6iichMyd_normal.jpg
31;IffyFive4;871229482606051328;1275;2720;197;26088.34;624839565.71;24996.79;0.10101010101010101;0.18181818181818182;0.1919191919191919;0.10101010101010101;0.1717171717171717;0.1414141414141414;0.1111111111111111;28.29;51.92;7.21;51;0.485;http://pbs.twimg.com/profile_images/871849111841939457/IyuZoOex_normal.jpg;https://pbs.twimg.com/profile_images/871849111841939457/IyuZoOex_normal.jpg
32;Wayfarer_TV;3545505615;1020;3221;160;11369.24;154163030.39;12416.24;0.06134969325153374;0.11042944785276074;0.2331288343558282;0.2147239263803681;0.22085889570552147;0.09815950920245399;0.06134969325153374;23.29;135.63;11.65;19;0.105;http://pbs.twimg.com/profile_images/894224288827527168/_VvTbPP5_normal.jpg;https://pbs.twimg.com/profile_images/894224288827527168/_VvTbPP5_normal.jpg
33;TimCoronel;47395667;599992;329989;199;14746.05;212709376.16;14584.56;0.16;0.145;0.105;0.2;0.15;0.095;0.145;28.57;41.96;6.48;55;0.455;http://pbs.twimg.com/profile_images/966695746278961157/y_ja35bo_normal.jpg;https://pbs.twimg.com/profile_images/966695746278961157/y_ja35bo_normal.jpg
34;ItsFoDDa;778684456211091457;5624;5563;184;5855.56;9074026.57;3012.31;0.18;0.135;0.14;0.14;0.15;0.125;0.13;28.57;11.39;3.37;9;0.13;http://pbs.twimg.com/profile_images/889612455051239430/rxR1CHng_normal.jpg;https://pbs.twimg.com/profile_images/889612455051239430/rxR1CHng_normal.jpg
35;KalaniBallFree;403179950;1664488;1113740;197;25837.27;679442125.38;26066.11;0.18181818181818182;0.16666666666666666;0.17676767676767677;0.13636363636363635;0.13636363636363635;0.09595959595959595;0.10606060606060606;28.29;38.49;6.20;58;0.405;http://pbs.twimg.com/profile_images/750922997679042560/BDfbVXP2_normal.jpg;https://pbs.twimg.com/profile_images/750922997679042560/BDfbVXP2_normal.jpg
36;McFlashy_;523779873;55874;59029;167;2748.98;19790043.68;4448.60;0.165;0.095;0.085;0.3;0.145;0.12;0.09;28.57;195.10;13.97;17;0.1;http://pbs.twimg.com/profile_images/977443566426324994/1jbGCEeR_normal.jpg;https://pbs.twimg.com/profile_images/977443566426324994/1jbGCEeR_normal.jpg
37;Upcoming100;2847643809;65219;40981;197;973.09;537718.17;733.29;0.0;0.47;0.405;0.125;0.0;0.0;0.0;28.57;1472.53;38.37;5;0.04;http://pbs.twimg.com/profile_images/887138420589338624/7M0-VsHe_normal.jpg;https://pbs.twimg.com/profile_images/887138420589338624/7M0-VsHe_normal.jpg
38;SourceAmyChin1;784513076829691904;26275;28085;191;1785.86;2321255.34;1523.57;0.14;0.265;0.26;0.065;0.18;0.09;0.0;28.57;338.82;18.41;4;0.055;http://pbs.twimg.com/profile_images/784513506502594560/vi29jVMF_normal.jpg;https://pbs.twimg.com/profile_images/784513506502594560/vi29jVMF_normal.jpg
39;VibeClarkRoger;784503116892737536;31585;33763;189;1804.72;2227020.88;1492.32;0.14;0.25;0.245;0.09;0.185;0.09;0.0;28.57;283.96;16.85;4;0.055;http://pbs.twimg.com/profile_images/784506018751361024/tRGJyrLx_normal.jpg;https://pbs.twimg.com/profile_images/784506018751361024/tRGJyrLx_normal.jpg
40;feetuppercut5;2168463103;91;158;180;11626.02;165123131.33;12850.02;0.1935483870967742;0.1989247311827957;0.1881720430107527;0.13440860215053763;0.14516129032258066;0.06451612903225806;0.07526881720430108;26.57;91.67;9.57;46;0.64;http://pbs.twimg.com/profile_images/937832079093575705/9mTdLk4y_normal.jpg;https://pbs.twimg.com/profile_images/937832079093575705/9mTdLk4y_normal.jpg
41;StarlightPR1;147759481;320858;63005;194;694.17;453445.46;673.38;0.0;0.26;0.58;0.16;0.0;0.0;0.0;28.57;1638.53;40.48;7;0.07;http://pbs.twimg.com/profile_images/869366924303642624/Wy4Foclr_normal.jpg;https://pbs.twimg.com/profile_images/869366924303642624/Wy4Foclr_normal.jpg
42;MusicLinkUp;718625752;230913;225760;191;747.93;421470.89;649.21;0.0;0.305;0.43;0.265;0.0;0.0;0.0;28.57;1173.10;34.25;5;0.075;http://pbs.twimg.com/profile_images/983980510291677186/9pOUv9-U_normal.jpg;https://pbs.twimg.com/profile_images/983980510291677186/9pOUv9-U_normal.jpg
43;JcmHoldings;2487832047;37179;40427;190;1061.05;407895.89;638.67;0.13;0.38;0.37;0.12;0.0;0.0;0.0;28.57;969.96;31.14;2;0.035;http://pbs.twimg.com/profile_images/953788882738434048/tek-K7dl_normal.jpg;https://pbs.twimg.com/profile_images/953788882738434048/tek-K7dl_normal.jpg
44;Lalo_DJXD;1552609267;115;196;198;21068.37;559788073.13;23659.84;0.15577889447236182;0.15577889447236182;0.1457286432160804;0.20603015075376885;0.11055276381909548;0.07035175879396985;0.15577889447236182;28.43;61.10;7.82;19;0.11;http://pbs.twimg.com/profile_images/974857243614048257/uM8BiIao_normal.jpg;https://pbs.twimg.com/profile_images/974857243614048257/uM8BiIao_normal.jpg
45;EmilyChri5;2251431872;98113;54625;197;982.23;635770.90;797.35;0.0;0.375;0.39;0.235;0.0;0.0;0.0;28.57;1171.96;34.23;4;0.04;http://pbs.twimg.com/profile_images/738032441428971520/5JJ06Dl4_normal.jpg;https://pbs.twimg.com/profile_images/738032441428971520/5JJ06Dl4_normal.jpg
46;ManagersPro1;1403884568;139639;60881;164;475.29;286511.85;535.27;0.17676767676767677;0.1919191919191919;0.20707070707070707;0.24242424242424243;0.045454545454545456;0.04040404040404041;0.09595959595959595;28.29;222.78;14.93;5;0.175;http://pbs.twimg.com/profile_images/908113885399601152/xryTbT-e_normal.jpg;https://pbs.twimg.com/profile_images/908113885399601152/xryTbT-e_normal.jpg
47;BESTdamnBEATS;719515690;122689;64323;188;1076.76;395248.05;628.69;0.115;0.38;0.38;0.125;0.0;0.0;0.0;28.57;998.82;31.60;2;0.035;http://pbs.twimg.com/profile_images/753415421613793280/AfN_Mpdp_normal.jpg;https://pbs.twimg.com/profile_images/753415421613793280/AfN_Mpdp_normal.jpg
48;DRaGoN_KoBRa;123070734;1750;1635;180;729.32;640912.05;800.57;0.175;0.375;0.175;0.04;0.0;0.11;0.125;28.57;504.82;22.47;20;0.355;http://pbs.twimg.com/profile_images/982110934918316032/DGGVJxXm_normal.jpg;https://pbs.twimg.com/profile_images/982110934918316032/DGGVJxXm_normal.jpg
49;Squa_Up;960820184045953025;633;813;172;2039.13;7850488.53;2801.87;0.095;0.185;0.23;0.245;0.095;0.05;0.1;28.57;199.10;14.11;23;0.225;http://pbs.twimg.com/profile_images/980567540798668800/F0QCzeby_normal.jpg;https://pbs.twimg.com/profile_images/980567540798668800/F0QCzeby_normal.jpg
50;Flesh_nd_blood;974121749230047232;79;322;29;9550.41;157644627.35;12555.66;0.0;0.18181818181818182;0.15151515151515152;0.45454545454545453;0.06060606060606061;0.06060606060606061;0.09090909090909091;4.71;21.06;4.59;7;0.04;http://pbs.twimg.com/profile_images/974122831301791747/oIiY6Stk_normal.jpg;https://pbs.twimg.com/profile_images/974122831301791747/oIiY6Stk_normal.jpg
51;Flesh_nd_blood;974121749230047232;79;322;29;9550.41;157644627.35;12555.66;0.0;0.18181818181818182;0.15151515151515152;0.45454545454545453;0.06060606060606061;0.06060606060606061;0.09090909090909091;4.71;21.06;4.59;7;0.04;http://pbs.twimg.com/profile_images/974122831301791747/oIiY6Stk_normal.jpg;https://pbs.twimg.com/profile_images/974122831301791747/oIiY6Stk_normal.jpg
52;FTG_Malak;3399258310;66;157;29;9029.62;98041872.99;9901.61;0.20588235294117646;0.11764705882352941;0.23529411764705882;0.17647058823529413;0.029411764705882353;0.08823529411764706;0.14705882352941177;4.86;4.98;2.23;13;0.09;http://pbs.twimg.com/profile_images/627577580703588352/OIDct8Yt_normal.jpg;https://pbs.twimg.com/profile_images/627577580703588352/OIDct8Yt_normal.jpg
53;OPC_Live;931615953183563776;363;2190;32;30288.53;408097923.31;20201.43;0.06060606060606061;0.12121212121212122;0.12121212121212122;0.15151515151515152;0.18181818181818182;0.21212121212121213;0.15151515151515152;4.71;2.20;1.48;2;0.01;http://pbs.twimg.com/profile_images/931616468839665666/lIGVKzcy_normal.jpg;https://pbs.twimg.com/profile_images/931616468839665666/lIGVKzcy_normal.jpg
54;jakecardiff401;1406619086;405194;383211;198;18465.86;668802249.93;25861.21;0.1407035175879397;0.15577889447236182;0.18090452261306533;0.18090452261306533;0.1407035175879397;0.08542713567839195;0.11557788944723618;28.43;40.24;6.34;3;0.015;http://pbs.twimg.com/profile_images/952949274836455424/Cf2PJGPF_normal.jpg;https://pbs.twimg.com/profile_images/952949274836455424/Cf2PJGPF_normal.jpg
55;isaacbrinker;283161604;816634;209603;36;34130.31;592564903.88;24342.66;0.13513513513513514;0.1891891891891892;0.16216216216216217;0.08108108108108109;0.1891891891891892;0.16216216216216217;0.08108108108108109;5.29;2.49;1.58;7;0.04;http://pbs.twimg.com/profile_images/957135316422455296/DpxDqplP_normal.jpg;https://pbs.twimg.com/profile_images/957135316422455296/DpxDqplP_normal.jpg
56;HighPerf0rmance;951724869321986048;4801;4699;169;3933.38;18077237.93;4251.73;0.115;0.15;0.155;0.19;0.13;0.105;0.155;28.57;28.24;5.31;14;0.095;http://pbs.twimg.com/profile_images/980318616515235840/f8GHlzX8_normal.jpg;https://pbs.twimg.com/profile_images/980318616515235840/f8GHlzX8_normal.jpg
57;HaQGamingTv;979080084928827393;372;2041;10;24014.60;625749537.24;25014.99;0.09090909090909091;0.18181818181818182;0.36363636363636365;0.18181818181818182;0.0;0.09090909090909091;0.09090909090909091;1.57;1.39;1.18;7;0.035;http://pbs.twimg.com/profile_images/979136578931933184/-mvYScfi_normal.jpg;https://pbs.twimg.com/profile_images/979136578931933184/-mvYScfi_normal.jpg
58;98Overwatched;984817354730364928;17;63;19;21418.16;694154721.29;26346.82;0.0;0.15;0.35;0.25;0.15;0.1;0.0;2.86;5.55;2.36;5;0.025;http://pbs.twimg.com/profile_images/986462509304549376/TrQx0dVG_normal.jpg;https://pbs.twimg.com/profile_images/986462509304549376/TrQx0dVG_normal.jpg
59;TheAmazingDaddy;988858033043275776;24;163;28;1510.18;2167488.79;1472.24;0.0;0.35294117647058826;0.3235294117647059;0.3235294117647059;0.0;0.0;0.0;4.86;31.55;5.62;15;0.075;http://pbs.twimg.com/profile_images/988872257412976642/lGbM3ICy_normal.jpg;https://pbs.twimg.com/profile_images/988872257412976642/lGbM3ICy_normal.jpg
60;JuggaLGBT;303059063;9443;8999;160;941.23;3411710.48;1847.08;0.26;0.17;0.3;0.08;0.015;0.055;0.12;28.57;386.82;19.67;9;0.045;http://pbs.twimg.com/profile_images/493541706587836417/Y2mkMXg6_normal.jpeg;https://pbs.twimg.com/profile_images/493541706587836417/Y2mkMXg6_normal.jpeg
61;ChieveMoe;965652946892472320;320;306;164;386.74;550606.50;742.03;0.21;0.315;0.12;0.065;0.145;0.05;0.095;28.57;295.10;17.18;16;0.12;http://pbs.twimg.com/profile_images/987064793939918848/DtTacuQm_normal.jpg;https://pbs.twimg.com/profile_images/987064793939918848/DtTacuQm_normal.jpg
62;SSpacecadet;979830334224297984;35;144;65;18795.72;477968130.54;21862.48;0.1323529411764706;0.22058823529411764;0.10294117647058823;0.04411764705882353;0.17647058823529413;0.10294117647058823;0.22058823529411764;9.71;17.35;4.16;7;0.07;http://abs.twimg.com/sticky/default_profile_images/default_profile_normal.png;https://abs.twimg.com/sticky/default_profile_images/default_profile_normal.png
63;RyanJK1984;3353924931;662;816;171;167.60;78896.01;280.88;0.0;0.26;0.545;0.195;0.0;0.0;0.0;28.57;1484.53;38.53;31;0.33;http://pbs.twimg.com/profile_images/976152763078819840/K2VLhFxK_normal.jpg;https://pbs.twimg.com/profile_images/976152763078819840/K2VLhFxK_normal.jpg
64;XBot448;2330122809;3409;807;169;1250.97;4563287.70;2136.19;0.135;0.175;0.21;0.07;0.065;0.12;0.225;28.57;138.53;11.77;34;0.2;http://pbs.twimg.com/profile_images/981674256927830016/-bN07lbK_normal.jpg;https://pbs.twimg.com/profile_images/981674256927830016/-bN07lbK_normal.jpg
65;SixxZeroOne;396166570;480;380;189;13831.90;376339468.18;19399.47;0.1;0.19;0.225;0.05;0.085;0.23;0.12;28.57;176.53;13.29;19;0.19;http://pbs.twimg.com/profile_images/948615658547433473/G1RUZtnR_normal.jpg;https://pbs.twimg.com/profile_images/948615658547433473/G1RUZtnR_normal.jpg
66;MadPuppyGrowl;986844537208393728;28;58;28;5307.96;70947184.25;8423.02;0.09090909090909091;0.15151515151515152;0.2727272727272727;0.3939393939393939;0.030303030303030304;0.030303030303030304;0.030303030303030304;4.71;18.78;4.33;5;0.065;http://pbs.twimg.com/profile_images/986850016982634497/WIV8odnF_normal.jpg;https://pbs.twimg.com/profile_images/986850016982634497/WIV8odnF_normal.jpg
67;PlayingIndies;241740778;20507;17883;155;110.91;31662.93;177.94;0.010869565217391304;0.20108695652173914;0.34782608695652173;0.08695652173913043;0.15217391304347827;0.20108695652173914;0.0;26.29;434.49;20.84;68;0.625;http://pbs.twimg.com/profile_images/988798110859218944/AImSr1o0_normal.jpg;https://pbs.twimg.com/profile_images/988798110859218944/AImSr1o0_normal.jpg
68;pippatuckwell;268639000;62321;44350;170;7109.30;8399522.19;2898.19;0.16;0.155;0.22;0.2;0.15;0.06;0.055;28.57;138.82;11.78;12;0.08;http://pbs.twimg.com/profile_images/907564983294275584/N6rpZX0g_normal.jpg;https://pbs.twimg.com/profile_images/907564983294275584/N6rpZX0g_normal.jpg
69;KhalifClark;3611496920;1865;1177;14;30062.79;826418020.17;28747.49;0.06666666666666667;0.26666666666666666;0.06666666666666667;0.26666666666666666;0.06666666666666667;0.06666666666666667;0.2;2.14;1.84;1.36;0;0.0;http://pbs.twimg.com/profile_images/986800265952194562/_eLYyrue_normal.jpg;https://pbs.twimg.com/profile_images/986800265952194562/_eLYyrue_normal.jpg
70;ImNyoh_;967353442737049600;497;913;20;18359.60;306635654.04;17511.02;0.09523809523809523;0.09523809523809523;0.23809523809523808;0.14285714285714285;0.14285714285714285;0.14285714285714285;0.14285714285714285;3.00;0.86;0.93;1;0.095;http://pbs.twimg.com/profile_images/967354397192785921/ysyo3P_R_normal.jpg;https://pbs.twimg.com/profile_images/967354397192785921/ysyo3P_R_normal.jpg
71;pippatuckwell;268639000;62321;44350;170;7109.30;8399522.19;2898.19;0.16;0.155;0.22;0.2;0.15;0.06;0.055;28.57;138.82;11.78;12;0.08;http://pbs.twimg.com/profile_images/907564983294275584/N6rpZX0g_normal.jpg;https://pbs.twimg.com/profile_images/907564983294275584/N6rpZX0g_normal.jpg
72;momsjunction;859021705628364800;838;555;195;5541.89;39266632.60;6266.31;0.195;0.185;0.15;0.175;0.145;0.125;0.025;28.57;113.10;10.63;57;0.875;http://pbs.twimg.com/profile_images/950264709944459264/kQDJXzID_normal.jpg;https://pbs.twimg.com/profile_images/950264709944459264/kQDJXzID_normal.jpg
73;mj_dakile09;825079356666105864;34;80;91;11576.98;181188545.80;13460.63;0.07368421052631578;0.14736842105263157;0.1368421052631579;0.08421052631578947;0.1368421052631579;0.37894736842105264;0.042105263157894736;13.57;95.67;9.78;8;0.055;http://pbs.twimg.com/profile_images/962416496076091392/14dwsa4w_normal.jpg;https://pbs.twimg.com/profile_images/962416496076091392/14dwsa4w_normal.jpg
74;MSFT_Paulo;824534965962625025;183;196;199;12560.11;221716309.84;14890.14;0.09;0.115;0.155;0.125;0.145;0.22;0.15;28.57;57.39;7.58;60;0.425;http://pbs.twimg.com/profile_images/985623197726007296/K2zCwxJX_normal.jpg;https://pbs.twimg.com/profile_images/985623197726007296/K2zCwxJX_normal.jpg
75;michaelbahati;430944233;2267;1383;176;7613.07;54522682.18;7383.95;0.225;0.2;0.18;0.14;0.1;0.095;0.06;28.57;127.96;11.31;48;0.515;http://pbs.twimg.com/profile_images/669194065402023938/Aiisikzf_normal.jpg;https://pbs.twimg.com/profile_images/669194065402023938/Aiisikzf_normal.jpg
